Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
50.0314473,8.57613372,105,97,21,5,,0.08
50.03054,8.58493,108,96.92,21,5,,
50.03041,8.58548,107,96.84,21,5,,
50.03036,8.58586,107,96.76,21,5,,
50.03036,8.58621,108,96.68,21,5,,
50.03043,8.58655,108,96.6,21,5,,
50.03058,8.58693,107,96.52,21,5,,
50.03105,8.58774,104,96.44,21,5,,
50.03129,8.58803,105,96.36,21,5,,
50.03154,8.58827,106,96.28,21,5,,
50.03297,8.58929,108,96.2,21,5,,
50.03432,8.59029,107,96.12,21,5,,
50.03473,8.5907,111,96.04,21,5,,
50.03497,8.59098,111,95.96,21,5,,
50.03505,8.59116,112,95.88,21,5,,
50.03509,8.59131,112,95.8,21,5,,
50.03509,8.5915,111,95.72,21,5,,
50.03507,8.59159,111,95.64,21,5,,
50.03471,8.59179,109,95.56,21,5,,
50.0345,8.59188,109,95.48,21,5,,
50.03423,8.59191,109,95.4,21,5,,
50.03411,8.59187,109,95.32,21,5,,
50.03402,8.5918,109,95.24,21,5,,
50.03378,8.59148,108,95.16,21,5,,
50.03371,8.59143,108,95.08,21,5,,
50.03351,8.59137,107,95,21,5,,
50.03346,8.59146,108,94.92,21,5,,
50.0334,8.59162,108,94.84,21,5,,
50.03339,8.59177,109,94.76,21,5,,
50.03366,8.59195,109,94.68,21,5,,
50.03388,8.59204,109,94.6,21,5,,
50.03413,8.59225,110,94.52,21,5,,
50.03453,8.59285,109,94.44,21,5,,
50.03477,8.59303,109,94.36,21,5,,
50.03494,8.59321,110,94.28,21,5,,
50.03498,8.59329,111,94.2,21,5,,
50.03503,8.5935,112,94.12,21,5,,
50.03503,8.59379,113,94.04,21,5,,
50.03465,8.5958,110,93.96,21,5,,
50.03447,8.59666,112,93.88,21,5,,
50.03433,8.59717,113,93.8,21,5,,
50.03415,8.59773,112,93.72,21,5,,
50.03396,8.59821,112,93.64,21,5,,
50.03328,8.59988,114,93.56,21,5,,
50.03331,8.60002,114,93.48,21,5,,
50.03402,8.59826,112,93.4,21,5,,
50.03427,8.59779,113,93.32,21,5,,
50.0344,8.59761,113,93.24,21,5,,
50.03457,8.5975,113,93.16,21,5,,
50.0347,8.59749,112,93.08,21,5,,
50.03531,8.59757,110,93,21,5,,
50.03547,8.59755,109,92.92,21,5,,
50.03558,8.5975,109,92.84,21,5,,
50.03574,8.5974,110,92.76,21,5,,
50.03583,8.59731,110,92.68,21,5,,
50.0363,8.59676,113,92.6,21,5,,
50.03655,8.59663,112,92.52,21,5,,
50.03674,8.5966,112,92.44,21,5,,
50.03686,8.59661,112,92.36,21,5,,
50.03747,8.59679,110,92.28,21,5,,
50.03838,8.59715,113,92.2,21,5,,
50.03918,8.5974,112,92.12,21,5,,
50.0474,8.6015,115,92.04,21,5,,
50.04788,8.60186,114,91.96,21,5,,
50.04829,8.60213,110,91.88,21,5,,
50.05014,8.60316,110,91.8,21,5,,
50.05043,8.6034,112,91.72,21,5,,
50.05085,8.60385,111,91.64,21,5,,
50.0511,8.60403,111,91.56,21,5,,
50.05124,8.6041,111,91.48,21,5,,
50.05143,8.60416,112,91.4,21,5,,
50.05219,8.60424,113,91.32,21,5,,
50.05236,8.60429,114,91.24,21,5,,
50.05374,8.60498,110,91.16,21,5,,
50.05399,8.60517,111,91.08,21,5,,
50.05416,8.60534,112,91,21,5,,
50.05422,8.60545,112,90.92,21,5,,
50.05428,8.60561,111,90.84,21,5,,
50.0543,8.60579,111,90.76,21,5,,
50.0543,8.60606,112,90.68,21,5,,
50.05425,8.60624,114,90.6,21,5,,
50.05416,8.60641,116,90.52,21,5,,
50.05374,8.60691,117,90.44,21,5,,
50.05358,8.60703,117,90.36,21,5,,
50.05347,8.60704,117,90.28,21,5,,
50.05337,8.60702,117,90.2,21,5,,
50.05322,8.60692,117,90.12,21,5,,
50.05314,8.6068,117,90.04,21,5,,
50.05307,8.60662,117,89.96,21,5,,
50.05304,8.60634,118,89.88,21,5,,
50.05332,8.60048,116,89.8,21,5,,
50.05332,8.59937,119,89.72,21,5,,
50.05347,8.59657,115,89.64,21,5,,
50.05391,8.58692,117,89.56,21,5,,
50.05396,8.58535,118,89.48,21,5,,
50.05399,8.58463,118,89.4,21,5,,
50.05401,8.58418,118,89.32,21,5,,
50.05401,8.58306,115,89.24,21,5,,
50.05392,8.58159,113,89.16,21,5,,
50.0539,8.58065,114,89.08,21,5,,
50.0539,8.58064,114,89,21,5,,
50.05387,8.57971,114,88.92,21,5,,
50.05377,8.57826,115,88.84,21,5,,
50.0536,8.57655,112,88.76,21,5,,
50.05347,8.57552,112,88.68,21,5,,
50.05321,8.57387,111,88.6,21,5,,
50.05241,8.56955,118,88.52,21,5,,
50.05141,8.56424,109,88.44,21,5,,
50.05028,8.55849,109,88.36,21,5,,
50.04856,8.5501,106,88.28,21,5,,
50.04843,8.54949,105,88.2,21,5,,
50.04812,8.54828,107,88.12,21,5,,
50.04764,8.54662,103,88.04,21,5,,
50.04717,8.54513,103,87.96,21,5,,
50.0467,8.54383,102,87.88,21,5,,
50.04633,8.54288,105,87.8,21,5,,
50.03668,8.51876,99,87.72,21,5,,
50.03461,8.5135,97,87.64,21,5,,
50.03035,8.50287,96,87.56,21,5,,
50.02972,8.50135,96,87.48,21,5,,
50.02761,8.49607,100,87.4,21,5,,
50.02719,8.49496,99,87.32,21,5,,
50.02676,8.49355,99,87.24,21,5,,
50.02648,8.49248,98,87.16,21,5,,
50.02622,8.49133,99,87.08,21,5,,
50.02597,8.48979,101,87,21,5,,
50.02577,8.48793,103,86.92,21,5,,
50.02568,8.48651,100,86.84,21,5,,
50.02566,8.48585,100,86.76,21,5,,
50.02566,8.48477,97,86.68,21,5,,
50.0257,8.48352,99,86.6,21,5,,
50.02578,8.48244,102,86.52,21,5,,
50.02585,8.48177,99,86.44,21,5,,
50.026,8.4806,98,86.36,21,5,,
50.02619,8.4795,99,86.28,21,5,,
