Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
50.9278546,11.5833964,163,99,28,7,,0.052
50.92785,11.5834,163,98.948,28,7,,
50.92756,11.58337,160,98.896,28,7,,
50.92684,11.58344,157,98.844,28,7,,
50.92669,11.58348,156,98.792,28,7,,
50.9266,11.58355,155,98.74,28,7,,
50.92655,11.58357,154,98.688,28,7,,
50.92638,11.58355,153,98.636,28,7,,
50.92614,11.58348,153,98.584,28,7,,
50.9261,11.58344,153,98.532,28,7,,
50.92604,11.58328,154,98.48,28,7,,
50.92578,11.58225,159,98.428,28,7,,
50.92572,11.58229,159,98.376,28,7,,
50.92561,11.5823,159,98.324,28,7,,
50.92528,11.58228,160,98.272,28,7,,
50.92456,11.58207,157,98.22,28,7,,
50.92424,11.58213,155,98.168,28,7,,
50.92367,11.58242,154,98.116,28,7,,
50.92341,11.58259,153,98.064,28,7,,
50.92316,11.58283,150,98.012,28,7,,
50.92313,11.58276,150,97.96,28,7,,
50.92307,11.58274,150,97.908,28,7,,
50.92303,11.58277,149,97.856,28,7,,
50.923,11.58286,149,97.804,28,7,,
50.92285,11.58279,149,97.752,28,7,,
50.92061,11.58093,151,97.7,28,7,,
50.92039,11.58083,152,97.648,28,7,,
50.91992,11.58073,152,97.596,28,7,,
50.91974,11.58062,153,97.544,28,7,,
50.91889,11.58002,151,97.492,28,7,,
50.91664,11.57875,155,97.44,28,7,,
50.91635,11.57855,154,97.388,28,7,,
50.91616,11.57839,153,97.336,28,7,,
50.91604,11.57821,152,97.284,28,7,,
50.91614,11.57815,153,97.232,28,7,,
50.91618,11.57805,154,97.18,28,7,,
50.91629,11.57752,156,97.128,28,7,,
50.91617,11.57612,165,97.076,28,7,,
50.91613,11.57545,165,97.024,28,7,,
50.91604,11.57475,167,96.972,28,7,,
50.91591,11.57407,169,96.92,28,7,,
50.91556,11.57248,174,96.868,28,7,,
50.91543,11.57206,177,96.816,28,7,,
50.91512,11.57116,183,96.764,28,7,,
50.91507,11.57072,185,96.712,28,7,,
50.91506,11.57042,186,96.66,28,7,,
50.91507,11.57019,188,96.608,28,7,,
50.91472,11.57023,192,96.556,28,7,,
50.91432,11.57047,194,96.504,28,7,,
50.91411,11.57071,195,96.452,28,7,,
50.91397,11.57103,194,96.4,28,7,,
50.91389,11.57131,192,96.348,28,7,,
50.91379,11.57156,190,96.296,28,7,,
50.91358,11.57185,189,96.244,28,7,,
50.91343,11.57202,188,96.192,28,7,,
50.91297,11.57243,188,96.14,28,7,,
50.91265,11.57265,189,96.088,28,7,,
50.91249,11.5727,188,96.036,28,7,,
50.91232,11.57269,189,95.984,28,7,,
50.91151,11.57253,193,95.932,28,7,,
50.91112,11.57241,192,95.88,28,7,,
50.91078,11.57228,193,95.828,28,7,,
50.91013,11.57225,192,95.776,28,7,,
50.91004,11.57222,192,95.724,28,7,,
50.90844,11.5713,189,95.672,28,7,,
50.9083,11.57111,188,95.62,28,7,,
50.90817,11.57087,188,95.568,28,7,,
50.90805,11.5705,186,95.516,28,7,,
50.9072,11.56726,174,95.464,28,7,,
50.90706,11.56692,176,95.412,28,7,,
50.90678,11.56645,176,95.36,28,7,,
50.90649,11.56615,174,95.308,28,7,,
50.90633,11.56603,173,95.256,28,7,,
50.90598,11.56588,170,95.204,28,7,,
50.9056,11.56583,169,95.152,28,7,,
50.9054,11.56586,171,95.1,28,7,,
50.90514,11.565,174,95.048,28,7,,
50.90503,11.56454,177,94.996,28,7,,
50.90489,11.56366,180,94.944,28,7,,
50.90486,11.56315,180,94.892,28,7,,
50.90507,11.56143,181,94.84,28,7,,
50.90513,11.5606,180,94.788,28,7,,
50.90512,11.5602,182,94.736,28,7,,
50.90505,11.55994,182,94.684,28,7,,
50.90485,11.55945,182,94.632,28,7,,
50.90472,11.55897,185,94.58,28,7,,
50.9045,11.55768,190,94.528,28,7,,
50.9045,11.55739,190,94.476,28,7,,
50.90458,11.55661,191,94.424,28,7,,
50.90458,11.55628,191,94.372,28,7,,
50.90455,11.55612,191,94.32,28,7,,
50.90448,11.55591,191,94.268,28,7,,
50.90441,11.55562,190,94.216,28,7,,
50.9044,11.5553,191,94.164,28,7,,
50.90449,11.55468,193,94.112,28,7,,
50.90453,11.55452,193,94.06,28,7,,
50.90454,11.55433,194,94.008,28,7,,
50.90452,11.55413,195,93.956,28,7,,
50.90445,11.55395,195,93.904,28,7,,
50.90413,11.55343,196,93.852,28,7,,
50.90394,11.55315,197,93.8,28,7,,
50.90355,11.55271,197,93.748,28,7,,
50.90294,11.55221,198,93.696,28,7,,
50.90269,11.55206,198,93.644,28,7,,
50.90212,11.55176,202,93.592,28,7,,
50.90155,11.55128,204,93.54,28,7,,
50.90125,11.5511,206,93.488,28,7,,
50.90092,11.55095,207,93.436,28,7,,
50.90047,11.55083,208,93.384,28,7,,
50.90022,11.55074,208,93.332,28,7,,
50.89905,11.55018,212,93.28,28,7,,
50.89778,11.54953,223,93.228,28,7,,
50.89691,11.54926,225,93.176,28,7,,
50.89661,11.54909,225,93.124,28,7,,
50.89625,11.54881,229,93.072,28,7,,
50.89578,11.54854,232,93.02,28,7,,
50.89521,11.54807,236,92.968,28,7,,
50.89475,11.54774,237,92.916,28,7,,
50.89422,11.54725,236,92.864,28,7,,
50.89379,11.54691,240,92.812,28,7,,
50.89335,11.54651,238,92.76,28,7,,
50.89226,11.54511,239,92.708,28,7,,
50.89201,11.54473,239,92.656,28,7,,
50.8918,11.54429,241,92.604,28,7,,
50.89163,11.54406,243,92.552,28,7,,
50.89146,11.54397,243,92.5,28,7,,
50.89115,11.54385,243,92.448,28,7,,
50.89094,11.54365,244,92.396,28,7,,
50.89082,11.54346,244,92.344,28,7,,
50.89067,11.5431,245,92.292,28,7,,
50.89055,11.54276,247,92.24,28,7,,
50.8904,11.54243,247,92.188,28,7,,
50.89017,11.542,249,92.136,28,7,,
50.89005,11.54168,250,92.084,28,7,,
50.88996,11.5415,250,92.032,28,7,,
50.88942,11.5409,252,91.98,28,7,,
50.88873,11.54034,257,91.928,28,7,,
50.8885,11.54018,258,91.876,28,7,,
50.88802,11.53991,258,91.824,28,7,,
50.88768,11.53967,258,91.772,28,7,,
50.8876,11.53964,259,91.72,28,7,,
50.88751,11.53964,259,91.668,28,7,,
50.88732,11.53973,262,91.616,28,7,,
50.88718,11.53984,265,91.564,28,7,,
50.88696,11.5399,267,91.512,28,7,,
50.88657,11.5399,266,91.46,28,7,,
50.88636,11.53994,265,91.408,28,7,,
50.88614,11.54008,267,91.356,28,7,,
50.88588,11.54033,271,91.304,28,7,,
50.88562,11.54052,272,91.252,28,7,,
50.88515,11.54074,281,91.2,28,7,,
50.88483,11.54076,286,91.148,28,7,,
50.88467,11.54072,287,91.096,28,7,,
50.88434,11.5406,287,91.044,28,7,,
50.88404,11.54038,290,90.992,28,7,,
50.88388,11.54019,292,90.94,28,7,,
50.88369,11.5399,294,90.888,28,7,,
50.88315,11.53891,297,90.836,28,7,,
50.88286,11.53856,299,90.784,28,7,,
50.88257,11.53824,299,90.732,28,7,,
50.88229,11.538,297,90.68,28,7,,
50.88189,11.53757,297,90.628,28,7,,
50.88177,11.53737,298,90.576,28,7,,
50.8816,11.53703,298,90.524,28,7,,
50.88151,11.53678,298,90.472,28,7,,
50.88146,11.53637,299,90.42,28,7,,
50.88135,11.53589,301,90.368,28,7,,
50.88114,11.53511,304,90.316,28,7,,
50.88088,11.53447,302,90.264,28,7,,
50.88042,11.53321,302,90.212,28,7,,
50.88016,11.53244,299,90.16,28,7,,
50.88004,11.53194,299,90.108,28,7,,
50.8799,11.53089,305,90.056,28,7,,
50.87969,11.52964,310,90.004,28,7,,
50.87962,11.52935,311,89.952,28,7,,
50.8794,11.52858,311,89.9,28,7,,
50.87906,11.52688,317,89.848,28,7,,
50.87861,11.52426,324,89.796,28,7,,
50.87829,11.52284,328,89.744,28,7,,
50.87804,11.52199,328,89.692,28,7,,
50.87778,11.52123,330,89.64,28,7,,
50.87761,11.5208,330,89.588,28,7,,
50.87678,11.51891,333,89.536,28,7,,
50.87652,11.51827,336,89.484,28,7,,
50.87617,11.51722,339,89.432,28,7,,
50.8759,11.51605,343,89.38,28,7,,
50.87574,11.51511,345,89.328,28,7,,
50.87562,11.51408,347,89.276,28,7,,
50.87553,11.51222,352,89.224,28,7,,
50.87552,11.51077,355,89.172,28,7,,
50.87554,11.51003,355,89.12,28,7,,
50.87557,11.5095,356,89.068,28,7,,
50.87568,11.50834,358,89.016,28,7,,
50.87583,11.50729,359,88.964,28,7,,
50.87603,11.50618,358,88.912,28,7,,
50.87631,11.50494,357,88.86,28,7,,
50.87652,11.50414,358,88.808,28,7,,
50.87698,11.50257,359,88.756,28,7,,
50.87707,11.50259,358,88.704,28,7,,
50.87716,11.50254,358,88.652,28,7,,
50.87722,11.50243,358,88.6,28,7,,
50.87723,11.50228,358,88.548,28,7,,
50.87767,11.50199,357,88.496,28,7,,
50.87775,11.5019,358,88.444,28,7,,
50.87787,11.50171,357,88.392,28,7,,
50.87793,11.50147,357,88.34,28,7,,
50.87794,11.50115,358,88.288,28,7,,
50.87792,11.50099,358,88.236,28,7,,
50.87774,11.50049,360,88.184,28,7,,
50.87769,11.50031,361,88.132,28,7,,
50.87765,11.50009,361,88.08,28,7,,
50.87763,11.49973,362,88.028,28,7,,
50.8777,11.49899,363,87.976,28,7,,
50.88286,11.48617,356,87.924,28,7,,
50.88613,11.47792,343,87.872,28,7,,
50.88693,11.4758,338,87.82,28,7,,
50.88763,11.4738,329,87.768,28,7,,
50.88818,11.47215,332,87.716,28,7,,
50.88866,11.47059,333,87.664,28,7,,
50.88914,11.46898,331,87.612,28,7,,
50.88969,11.46701,327,87.56,28,7,,
50.89033,11.46446,320,87.508,28,7,,
50.89087,11.46218,317,87.456,28,7,,
50.89263,11.45405,292,87.404,28,7,,
50.89301,11.45238,292,87.352,28,7,,
50.89327,11.45129,290,87.3,28,7,,
50.89352,11.45034,287,87.248,28,7,,
50.89398,11.44872,287,87.196,28,7,,
50.89443,11.44728,289,87.144,28,7,,
50.89485,11.446,291,87.092,28,7,,
50.89583,11.4435,294,87.04,28,7,,
50.89657,11.44181,296,86.988,28,7,,
50.89866,11.43743,296,86.936,28,7,,
50.89984,11.43497,299,86.884,28,7,,
50.90111,11.43239,308,86.832,28,7,,
50.90456,11.42522,315,86.78,28,7,,
50.90561,11.42327,315,86.728,28,7,,
50.90655,11.42175,317,86.676,28,7,,
50.90774,11.42001,316,86.624,28,7,,
50.90851,11.41897,319,86.572,28,7,,
50.90974,11.41748,324,86.52,28,7,,
50.92009,11.40647,315,86.468,28,7,,
50.92081,11.40569,309,86.416,28,7,,
50.92148,11.40492,304,86.364,28,7,,
50.9224,11.40378,295,86.312,28,7,,
50.92313,11.40279,290,86.26,28,7,,
50.92373,11.40193,285,86.208,28,7,,
50.92426,11.40113,279,86.156,28,7,,
50.93006,11.39189,243,86.104,28,7,,
50.93097,11.39037,247,86.052,28,7,,
50.93293,11.3872,254,86,28,7,,
50.93386,11.38558,258,85.948,28,7,,
50.93417,11.38495,259,85.896,28,7,,
50.93465,11.3839,262,85.844,28,7,,
50.93503,11.38291,259,85.792,28,7,,
50.93545,11.38172,261,85.74,28,7,,
50.93572,11.3808,261,85.688,28,7,,
50.93603,11.37964,263,85.636,28,7,,
50.93618,11.37898,264,85.584,28,7,,
50.93761,11.37178,290,85.532,28,7,,
50.93784,11.37029,295,85.48,28,7,,
50.93801,11.36865,300,85.428,28,7,,
50.93809,11.36723,306,85.376,28,7,,
50.93811,11.36587,312,85.324,28,7,,
50.93807,11.36441,319,85.272,28,7,,
50.93782,11.35816,336,85.22,28,7,,
50.93761,11.35249,335,85.168,28,7,,
50.9376,11.3509,333,85.116,28,7,,
50.93762,11.3497,331,85.064,28,7,,
50.93766,11.34877,331,85.012,28,7,,
50.93788,11.34638,332,84.96,28,7,,
50.93814,11.34441,330,84.908,28,7,,
50.93859,11.34216,329,84.856,28,7,,
50.94114,11.33125,319,84.804,28,7,,
50.94177,11.32839,315,84.752,28,7,,
50.94214,11.3265,317,84.7,28,7,,
50.94239,11.32497,322,84.648,28,7,,
50.94262,11.32342,325,84.596,28,7,,
50.9429,11.32109,330,84.544,28,7,,
50.94302,11.31984,335,84.492,28,7,,
50.94312,11.31859,342,84.44,28,7,,
50.94321,11.31724,344,84.388,28,7,,
50.94328,11.31548,346,84.336,28,7,,
50.94332,11.314,348,84.284,28,7,,
50.9433,11.30426,360,84.232,28,7,,
50.94335,11.30325,361,84.18,28,7,,
50.94349,11.30195,362,84.128,28,7,,
50.94731,11.27854,366,84.076,28,7,,
50.94749,11.27716,364,84.024,28,7,,
50.94761,11.27604,363,83.972,28,7,,
50.94773,11.27455,361,83.92,28,7,,
50.94834,11.25882,372,83.868,28,7,,
50.94852,11.25544,377,83.816,28,7,,
50.94931,11.24598,385,83.764,28,7,,
50.94969,11.2417,381,83.712,28,7,,
50.95017,11.23588,382,83.66,28,7,,
50.95032,11.23392,381,83.608,28,7,,
50.95042,11.23223,378,83.556,28,7,,
50.95044,11.23153,379,83.504,28,7,,
50.95048,11.22892,381,83.452,28,7,,
50.95044,11.22771,381,83.4,28,7,,
50.94997,11.21701,377,83.348,28,7,,
50.94918,11.19984,378,83.296,28,7,,
50.94892,11.19478,370,83.244,28,7,,
50.94864,11.19231,367,83.192,28,7,,
50.94853,11.19155,365,83.14,28,7,,
50.9483,11.19018,363,83.088,28,7,,
50.94805,11.18887,361,83.036,28,7,,
50.94642,11.18143,351,82.984,28,7,,
50.94467,11.1736,339,82.932,28,7,,
50.94426,11.17184,337,82.88,28,7,,
50.94388,11.17045,336,82.828,28,7,,
50.94349,11.16915,333,82.776,28,7,,
50.94317,11.16819,332,82.724,28,7,,
50.94282,11.16725,330,82.672,28,7,,
50.94236,11.16613,327,82.62,28,7,,
50.94183,11.16487,327,82.568,28,7,,
50.94006,11.16122,334,82.516,28,7,,
50.93872,11.15841,337,82.464,28,7,,
50.93786,11.15664,337,82.412,28,7,,
50.93712,11.15527,339,82.36,28,7,,
50.93642,11.15419,346,82.308,28,7,,
50.93586,11.1534,352,82.256,28,7,,
50.93492,11.15229,366,82.204,28,7,,
50.93305,11.15024,364,82.152,28,7,,
50.93175,11.14875,377,82.1,28,7,,
50.931,11.1478,380,82.048,28,7,,
50.9304,11.14693,383,81.996,28,7,,
50.92972,11.14582,389,81.944,28,7,,
50.92931,11.14504,392,81.892,28,7,,
50.92884,11.14409,395,81.84,28,7,,
50.92833,11.14294,400,81.788,28,7,,
50.92529,11.13582,415,81.736,28,7,,
50.92473,11.13436,416,81.684,28,7,,
50.92435,11.13316,410,81.632,28,7,,
50.92418,11.13256,410,81.58,28,7,,
50.92397,11.13174,413,81.528,28,7,,
50.92369,11.13066,412,81.476,28,7,,
50.92345,11.12933,410,81.424,28,7,,
50.92323,11.12776,413,81.372,28,7,,
50.92249,11.12149,397,81.32,28,7,,
50.92232,11.12038,395,81.268,28,7,,
50.92216,11.11953,397,81.216,28,7,,
50.92195,11.11856,394,81.164,28,7,,
50.92169,11.11758,396,81.112,28,7,,
50.92136,11.11643,396,81.06,28,7,,
50.91985,11.11173,403,81.008,28,7,,
50.91903,11.1089,410,80.956,28,7,,
50.91848,11.10694,421,80.904,28,7,,
50.91803,11.10524,423,80.852,28,7,,
50.91628,11.09843,422,80.8,28,7,,
50.91547,11.0952,421,80.748,28,7,,
50.91401,11.08962,422,80.696,28,7,,
50.91314,11.08568,417,80.644,28,7,,
50.91285,11.08429,413,80.592,28,7,,
50.91188,11.07921,407,80.54,28,7,,
50.9109,11.07372,392,80.488,28,7,,
50.91049,11.07084,388,80.436,28,7,,
50.91034,11.06947,387,80.384,28,7,,
50.91016,11.06721,381,80.332,28,7,,
50.91003,11.06467,374,80.28,28,7,,
50.90975,11.0583,357,80.228,28,7,,
50.90954,11.05294,346,80.176,28,7,,
50.90941,11.05038,346,80.124,28,7,,
50.90925,11.04558,340,80.072,28,7,,
50.90893,11.03999,333,80.02,28,7,,
50.90863,11.03644,328,79.968,28,7,,
50.90796,11.02996,320,79.916,28,7,,
50.90534,11.00482,294,79.864,28,7,,
50.90499,11.00178,289,79.812,28,7,,
50.90489,11.00106,288,79.76,28,7,,
50.90479,11.00038,288,79.708,28,7,,
50.90441,10.99822,285,79.656,28,7,,
50.90287,10.99146,284,79.604,28,7,,
50.89993,10.97886,280,79.552,28,7,,
50.89951,10.97703,276,79.5,28,7,,
50.8986,10.9732,263,79.448,28,7,,
50.89796,10.97043,251,79.396,28,7,,
50.89657,10.96449,236,79.344,28,7,,
50.89593,10.96169,237,79.292,28,7,,
50.89569,10.96069,238,79.24,28,7,,
50.89432,10.9548,250,79.188,28,7,,
50.89381,10.9527,258,79.136,28,7,,
50.89337,10.9505,260,79.084,28,7,,
50.89307,10.94884,261,79.032,28,7,,
50.8928,10.94689,262,78.98,28,7,,
50.89264,10.94539,261,78.928,28,7,,
50.89246,10.94274,263,78.876,28,7,,
50.89242,10.94141,262,78.824,28,7,,
50.89241,10.94001,262,78.772,28,7,,
50.89243,10.93895,265,78.72,28,7,,
50.89249,10.93722,266,78.668,28,7,,
50.89276,10.93293,262,78.616,28,7,,
50.8939,10.91546,278,78.564,28,7,,
50.89399,10.91337,274,78.512,28,7,,
50.89403,10.91157,272,78.46,28,7,,
50.89403,10.91023,273,78.408,28,7,,
50.894,10.90919,274,78.356,28,7,,
50.8939,10.90685,269,78.304,28,7,,
