Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
51.3077277,9.47972917,165,99,28,7,,0.05
51.30769,9.47971,166,98.95,28,7,,
51.30762,9.48029,162,98.9,28,7,,
51.30646,9.47975,170,98.85,28,7,,
51.30591,9.48141,163,98.8,28,7,,
51.30568,9.48201,161,98.75,28,7,,
51.30559,9.48219,160,98.7,28,7,,
51.30416,9.48424,147,98.65,28,7,,
51.30379,9.48388,149,98.6,28,7,,
51.30324,9.48339,150,98.55,28,7,,
51.30302,9.48325,150,98.5,28,7,,
51.30034,9.48184,149,98.45,28,7,,
51.29896,9.481,147,98.4,28,7,,
51.29861,9.48081,149,98.35,28,7,,
51.29828,9.48071,149,98.3,28,7,,
51.29787,9.48114,146,98.25,28,7,,
51.29749,9.4815,146,98.2,28,7,,
51.29711,9.48177,146,98.15,28,7,,
51.29669,9.48195,146,98.1,28,7,,
51.29648,9.48201,146,98.05,28,7,,
51.29545,9.48207,145,98,28,7,,
51.29465,9.48207,143,97.95,28,7,,
51.2943,9.48204,143,97.9,28,7,,
51.2938,9.48192,143,97.85,28,7,,
51.29315,9.48164,143,97.8,28,7,,
51.29263,9.4813,144,97.75,28,7,,
51.29233,9.48106,145,97.7,28,7,,
51.29204,9.48078,146,97.65,28,7,,
51.29099,9.47962,150,97.6,28,7,,
51.2904,9.47909,150,97.55,28,7,,
51.2901,9.47887,150,97.5,28,7,,
51.28963,9.47858,150,97.45,28,7,,
51.28918,9.47841,148,97.4,28,7,,
51.28867,9.47832,146,97.35,28,7,,
51.28824,9.47829,147,97.3,28,7,,
51.28767,9.47842,147,97.25,28,7,,
51.28735,9.47851,145,97.2,28,7,,
51.28647,9.47894,146,97.15,28,7,,
51.28609,9.47904,146,97.1,28,7,,
51.28593,9.47907,146,97.05,28,7,,
51.28565,9.47907,146,97,28,7,,
51.28503,9.47895,148,96.95,28,7,,
51.28451,9.47902,148,96.9,28,7,,
51.28426,9.47917,149,96.85,28,7,,
51.28402,9.47939,150,96.8,28,7,,
51.2838,9.47971,150,96.75,28,7,,
51.28368,9.47999,149,96.7,28,7,,
51.28358,9.48039,148,96.65,28,7,,
51.28352,9.48082,147,96.6,28,7,,
51.28351,9.48104,146,96.55,28,7,,
51.28351,9.48128,146,96.5,28,7,,
51.28357,9.4817,145,96.45,28,7,,
51.28368,9.4821,144,96.4,28,7,,
51.28381,9.4824,144,96.35,28,7,,
51.28406,9.48275,143,96.3,28,7,,
51.28425,9.48293,143,96.25,28,7,,
51.28451,9.48308,143,96.2,28,7,,
51.28492,9.48324,143,96.15,28,7,,
51.28508,9.48334,143,96.1,28,7,,
51.28553,9.48379,144,96.05,28,7,,
51.28582,9.48428,143,96,28,7,,
51.28595,9.48465,142,95.95,28,7,,
51.28603,9.485,141,95.9,28,7,,
51.28609,9.48547,141,95.85,28,7,,
51.28616,9.48563,142,95.8,28,7,,
51.28625,9.48653,143,95.75,28,7,,
51.28636,9.48886,141,95.7,28,7,,
51.2865,9.49099,139,95.65,28,7,,
51.28675,9.4937,139,95.6,28,7,,
51.28694,9.49598,140,95.55,28,7,,
51.28707,9.49773,140,95.5,28,7,,
51.28717,9.49955,143,95.45,28,7,,
51.28724,9.5017,142,95.4,28,7,,
51.28723,9.50376,142,95.35,28,7,,
51.2872,9.50485,143,95.3,28,7,,
51.28711,9.50639,142,95.25,28,7,,
51.28705,9.50714,142,95.2,28,7,,
51.28691,9.50857,144,95.15,28,7,,
51.28668,9.51015,144,95.1,28,7,,
51.28641,9.51162,147,95.05,28,7,,
51.28603,9.5134,149,95,28,7,,
51.28562,9.51491,150,94.95,28,7,,
51.28531,9.51599,149,94.9,28,7,,
51.28486,9.51729,150,94.85,28,7,,
51.28464,9.51789,151,94.8,28,7,,
51.28422,9.51894,154,94.75,28,7,,
