Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
49.5998204,11.0055048,285,99,17,5,,0.08
49.59982,11.0055,285,98.92,17,5,,
49.59994,11.00633,283,98.84,17,5,,
49.60099,11.00596,283,98.76,17,5,,
49.60145,11.0062,283,98.68,17,5,,
49.60247,11.00166,278,98.6,17,5,,
49.60274,11.00074,276,98.52,17,5,,
49.60281,11.00042,275,98.44,17,5,,
49.60286,11.00033,274,98.36,17,5,,
49.60377,10.99908,276,98.28,17,5,,
49.60383,10.99895,275,98.2,17,5,,
49.60394,10.99866,274,98.12,17,5,,
49.60411,10.99809,273,98.04,17,5,,
49.60422,10.99783,273,97.96,17,5,,
49.60439,10.99755,274,97.88,17,5,,
49.60511,10.99624,273,97.8,17,5,,
49.60521,10.99602,273,97.72,17,5,,
49.60526,10.99577,274,97.64,17,5,,
49.60531,10.99486,274,97.56,17,5,,
49.6057,10.9904,268,97.48,17,5,,
49.60589,10.98887,273,97.4,17,5,,
49.60591,10.9886,274,97.32,17,5,,
49.60619,10.98646,277,97.24,17,5,,
49.60632,10.98565,288,97.16,17,5,,
49.60649,10.98499,277,97.08,17,5,,
49.60691,10.98364,276,97,17,5,,
49.6073,10.98273,276,96.92,17,5,,
49.60769,10.98201,277,96.84,17,5,,
49.60854,10.98062,279,96.76,17,5,,
49.60894,10.98009,279,96.68,17,5,,
49.60949,10.97944,277,96.6,17,5,,
49.6102,10.97863,275,96.52,17,5,,
49.61083,10.97797,279,96.44,17,5,,
49.61134,10.97749,282,96.36,17,5,,
49.61233,10.97665,285,96.28,17,5,,
49.6127,10.9763,288,96.2,17,5,,
49.61315,10.97583,293,96.12,17,5,,
49.6135,10.97542,291,96.04,17,5,,
49.61378,10.97504,288,95.96,17,5,,
49.61401,10.9747,287,95.88,17,5,,
49.61445,10.97392,287,95.8,17,5,,
49.61488,10.97306,289,95.72,17,5,,
49.61504,10.9727,289,95.64,17,5,,
49.61532,10.97196,290,95.56,17,5,,
49.61545,10.97156,289,95.48,17,5,,
49.61571,10.97058,285,95.4,17,5,,
49.61588,10.96975,286,95.32,17,5,,
49.61597,10.96923,285,95.24,17,5,,
49.61605,10.96851,287,95.16,17,5,,
49.61612,10.96778,288,95.08,17,5,,
49.61617,10.96628,289,95,17,5,,
49.61618,10.96355,289,94.92,17,5,,
49.61621,10.96177,287,94.84,17,5,,
49.61631,10.96036,291,94.76,17,5,,
49.61639,10.95957,290,94.68,17,5,,
49.61657,10.9584,295,94.6,17,5,,
49.61671,10.95776,295,94.52,17,5,,
49.61684,10.95722,295,94.44,17,5,,
49.61716,10.95617,294,94.36,17,5,,
49.61736,10.95559,294,94.28,17,5,,
49.6176,10.95502,295,94.2,17,5,,
49.61783,10.95451,291,94.12,17,5,,
49.6181,10.95398,290,94.04,17,5,,
49.61839,10.95348,290,93.96,17,5,,
49.61874,10.95293,292,93.88,17,5,,
49.61901,10.95254,296,93.8,17,5,,
49.61958,10.95181,291,93.72,17,5,,
49.62005,10.95128,286,93.64,17,5,,
49.62153,10.94966,284,93.56,17,5,,
49.62196,10.94915,282,93.48,17,5,,
49.62229,10.94873,280,93.4,17,5,,
49.62276,10.94806,278,93.32,17,5,,
49.62319,10.94735,279,93.24,17,5,,
49.62342,10.94694,278,93.16,17,5,,
49.6239,10.94592,280,93.08,17,5,,
49.62407,10.94552,280,93,17,5,,
49.62461,10.9441,279,92.92,17,5,,
49.62518,10.94227,281,92.84,17,5,,
49.6261,10.93906,281,92.76,17,5,,
49.62636,10.93821,282,92.68,17,5,,
49.62648,10.93789,281,92.6,17,5,,
49.62677,10.93725,282,92.52,17,5,,
49.62752,10.9359,280,92.44,17,5,,
49.62771,10.93555,280,92.36,17,5,,
49.62793,10.93503,279,92.28,17,5,,
49.62812,10.9345,280,92.2,17,5,,
49.62823,10.93414,280,92.12,17,5,,
49.62834,10.93365,280,92.04,17,5,,
49.62847,10.93296,280,91.96,17,5,,
49.62853,10.93258,280,91.88,17,5,,
49.62862,10.93143,287,91.8,17,5,,
49.62863,10.93081,292,91.72,17,5,,
49.62864,10.93023,295,91.64,17,5,,
49.62862,10.92962,294,91.56,17,5,,
49.62851,10.92771,298,91.48,17,5,,
49.62832,10.92526,288,91.4,17,5,,
49.62832,10.92421,289,91.32,17,5,,
49.62845,10.92075,290,91.24,17,5,,
49.62848,10.92071,290,91.16,17,5,,
49.62853,10.92053,291,91.08,17,5,,
49.62863,10.92035,292,91,17,5,,
49.62891,10.92013,294,90.92,17,5,,
49.62904,10.92,295,90.84,17,5,,
49.62912,10.91987,295,90.76,17,5,,
49.62941,10.91919,296,90.68,17,5,,
49.62951,10.91889,294,90.6,17,5,,
49.62962,10.91862,292,90.52,17,5,,
49.6297,10.91848,291,90.44,17,5,,
49.62981,10.91833,291,90.36,17,5,,
49.62995,10.91821,291,90.28,17,5,,
49.63018,10.91808,291,90.2,17,5,,
49.63054,10.91794,288,90.12,17,5,,
49.63062,10.91782,287,90.04,17,5,,
49.63201,10.91734,292,89.96,17,5,,
49.63329,10.91681,294,89.88,17,5,,
49.63441,10.91628,297,89.8,17,5,,
49.63555,10.91568,294,89.72,17,5,,
49.63659,10.91507,291,89.64,17,5,,
49.63744,10.91453,291,89.56,17,5,,
49.63846,10.91381,292,89.48,17,5,,
49.63959,10.91296,294,89.4,17,5,,
49.64104,10.91178,294,89.32,17,5,,
49.64258,10.91035,286,89.24,17,5,,
49.6435,10.90941,290,89.16,17,5,,
49.64419,10.90868,290,89.08,17,5,,
49.6454,10.90729,287,89,17,5,,
49.64629,10.90621,288,88.92,17,5,,
49.64765,10.90452,287,88.84,17,5,,
49.64856,10.90343,285,88.76,17,5,,
49.64996,10.90188,292,88.68,17,5,,
49.65141,10.90045,289,88.6,17,5,,
49.65227,10.89966,287,88.52,17,5,,
49.65381,10.89834,288,88.44,17,5,,
49.65684,10.89584,295,88.36,17,5,,
49.65849,10.8943,301,88.28,17,5,,
49.6593,10.89348,306,88.2,17,5,,
49.66034,10.89236,309,88.12,17,5,,
49.66121,10.89134,306,88.04,17,5,,
49.66207,10.89027,307,87.96,17,5,,
49.66295,10.88911,310,87.88,17,5,,
49.66381,10.88789,311,87.8,17,5,,
49.66467,10.88661,314,87.72,17,5,,
49.6654,10.88547,312,87.64,17,5,,
49.66891,10.87988,307,87.56,17,5,,
49.66966,10.87872,305,87.48,17,5,,
49.67065,10.87727,306,87.4,17,5,,
49.67213,10.87522,306,87.32,17,5,,
49.6735,10.87351,307,87.24,17,5,,
49.67521,10.87151,308,87.16,17,5,,
49.67641,10.8702,314,87.08,17,5,,
49.6774,10.86917,310,87,17,5,,
49.67842,10.86821,308,86.92,17,5,,
49.67957,10.86716,302,86.84,17,5,,
49.68073,10.86614,297,86.76,17,5,,
49.68258,10.86466,294,86.68,17,5,,
49.68415,10.86356,288,86.6,17,5,,
49.68514,10.86291,281,86.52,17,5,,
49.68715,10.86167,275,86.44,17,5,,
49.68875,10.8608,272,86.36,17,5,,
49.69884,10.85578,271,86.28,17,5,,
49.7006,10.85478,272,86.2,17,5,,
