Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
52.2661062,8.06755685,69,99,28,7,,0.075
52.26607,8.06756,69,98.925,28,7,,
52.26592,8.06578,68,98.85,28,7,,
52.26624,8.06133,69,98.775,28,7,,
52.26612,8.06126,69,98.7,28,7,,
52.26585,8.06095,69,98.625,28,7,,
52.26591,8.06074,70,98.55,28,7,,
52.26619,8.06008,70,98.475,28,7,,
52.2669,8.05876,70,98.4,28,7,,
52.26737,8.05796,68,98.325,28,7,,
52.26743,8.05781,68,98.25,28,7,,
52.26758,8.05724,70,98.175,28,7,,
52.26764,8.05712,70,98.1,28,7,,
52.26775,8.05701,70,98.025,28,7,,
52.26789,8.05693,70,97.95,28,7,,
52.26826,8.05679,70,97.875,28,7,,
52.26825,8.05662,70,97.8,28,7,,
52.268,8.05596,69,97.725,28,7,,
52.26793,8.05589,69,97.65,28,7,,
52.26791,8.0557,69,97.575,28,7,,
52.26763,8.05469,70,97.5,28,7,,
52.26733,8.05341,69,97.425,28,7,,
52.26724,8.05323,69,97.35,28,7,,
52.26724,8.05296,69,97.275,28,7,,
52.2672,8.05268,69,97.2,28,7,,
52.26718,8.05237,69,97.125,28,7,,
52.26717,8.05128,68,97.05,28,7,,
52.26721,8.0502,68,96.975,28,7,,
52.26717,8.05,68,96.9,28,7,,
52.26721,8.04976,68,96.825,28,7,,
52.26723,8.04934,68,96.75,28,7,,
52.26729,8.04876,69,96.675,28,7,,
52.26745,8.04789,70,96.6,28,7,,
52.26756,8.04736,68,96.525,28,7,,
52.26757,8.04719,67,96.45,28,7,,
52.26804,8.04577,67,96.375,28,7,,
52.26856,8.04449,67,96.3,28,7,,
52.26946,8.04271,70,96.225,28,7,,
52.26978,8.04213,71,96.15,28,7,,
52.2699,8.04199,70,96.075,28,7,,
52.26997,8.04196,71,96,28,7,,
52.2707,8.0414,69,95.925,28,7,,
52.27204,8.04097,72,95.85,28,7,,
52.27219,8.04094,71,95.775,28,7,,
52.27213,8.0405,73,95.7,28,7,,
52.27215,8.0403,73,95.625,28,7,,
52.27196,8.0387,69,95.55,28,7,,
52.27076,8.02732,70,95.475,28,7,,
52.2707,8.02701,69,95.4,28,7,,
52.27062,8.02621,68,95.325,28,7,,
52.27063,8.02593,67,95.25,28,7,,
52.27048,8.02461,66,95.175,28,7,,
52.27013,8.02105,73,95.1,28,7,,
52.27005,8.02059,75,95.025,28,7,,
52.26992,8.01952,74,94.95,28,7,,
52.26992,8.01915,74,94.875,28,7,,
52.2699,8.01899,74,94.8,28,7,,
52.26979,8.01823,73,94.725,28,7,,
52.2697,8.01775,75,94.65,28,7,,
52.26952,8.017,77,94.575,28,7,,
52.2694,8.01656,77,94.5,28,7,,
52.26931,8.01637,78,94.425,28,7,,
52.26891,8.01524,76,94.35,28,7,,
52.26887,8.01503,76,94.275,28,7,,
52.26839,8.01376,79,94.2,28,7,,
52.26798,8.01274,83,94.125,28,7,,
52.26701,8.01022,84,94.05,28,7,,
52.26638,8.0088,79,93.975,28,7,,
52.26612,8.00841,79,93.9,28,7,,
52.26562,8.00759,79,93.825,28,7,,
52.26557,8.00737,79,93.75,28,7,,
52.26457,8.00582,80,93.675,28,7,,
52.26454,8.00559,80,93.6,28,7,,
52.26454,8.00519,80,93.525,28,7,,
52.26526,8.00383,81,93.45,28,7,,
52.26538,8.00358,81,93.375,28,7,,
52.26549,8.00316,83,93.3,28,7,,
52.26551,8.00293,84,93.225,28,7,,
52.26549,8.00268,86,93.15,28,7,,
52.26543,8.00239,87,93.075,28,7,,
52.26517,8.00189,89,93,28,7,,
52.2651,8.00161,89,92.925,28,7,,
52.26509,8.00133,89,92.85,28,7,,
52.26511,8.00117,89,92.775,28,7,,
52.26515,8.00102,89,92.7,28,7,,
52.26526,8.00071,89,92.625,28,7,,
52.26528,8.00054,88,92.55,28,7,,
52.26603,7.9988,91,92.475,28,7,,
52.26655,7.99746,91,92.4,28,7,,
52.26696,7.99635,89,92.325,28,7,,
52.26728,7.99543,90,92.25,28,7,,
52.26757,7.99448,90,92.175,28,7,,
52.26785,7.99352,91,92.1,28,7,,
52.26821,7.99203,89,92.025,28,7,,
52.26837,7.99128,87,91.95,28,7,,
52.2687,7.98939,83,91.875,28,7,,
52.26889,7.98793,81,91.8,28,7,,
52.26896,7.98713,82,91.725,28,7,,
52.26906,7.98586,82,91.65,28,7,,
52.26912,7.98431,78,91.575,28,7,,
52.26914,7.98326,78,91.5,28,7,,
52.26911,7.98116,79,91.425,28,7,,
52.26907,7.97985,75,91.35,28,7,,
52.26894,7.97669,69,91.275,28,7,,
52.26882,7.97431,71,91.2,28,7,,
52.26859,7.97039,62,91.125,28,7,,
52.26822,7.96452,64,91.05,28,7,,
52.26804,7.96132,63,90.975,28,7,,
52.26788,7.95691,67,90.9,28,7,,
52.26784,7.95505,68,90.825,28,7,,
52.26783,7.95137,69,90.75,28,7,,
52.26786,7.94898,64,90.675,28,7,,
52.26799,7.94426,75,90.6,28,7,,
52.2682,7.93059,70,90.525,28,7,,
