Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
52.4039374,13.0358662,48,99,24,5,,0.09
52.40393,13.03586,48,98.91,24,5,,
52.40398,13.03597,48,98.82,24,5,,
52.40404,13.03602,49,98.73,24,5,,
52.40432,13.03607,49,98.64,24,5,,
52.40442,13.03617,50,98.55,24,5,,
52.40448,13.03631,49,98.46,24,5,,
52.40494,13.03813,50,98.37,24,5,,
52.40497,13.03845,51,98.28,24,5,,
52.40496,13.0387,51,98.19,24,5,,
52.40485,13.03973,50,98.1,24,5,,
52.40465,13.04097,47,98.01,24,5,,
52.40459,13.04125,46,97.92,24,5,,
52.40369,13.04218,42,97.83,24,5,,
52.40362,13.04227,41,97.74,24,5,,
52.40352,13.04246,40,97.65,24,5,,
52.40346,13.04264,40,97.56,24,5,,
52.4034,13.04284,40,97.47,24,5,,
52.4033,13.04356,43,97.38,24,5,,
52.40323,13.04385,42,97.29,24,5,,
52.40292,13.04476,36,97.2,24,5,,
52.40247,13.04544,36,97.11,24,5,,
52.40181,13.0464,32,97.02,24,5,,
52.40164,13.04667,33,96.93,24,5,,
52.40151,13.04694,33,96.84,24,5,,
52.40009,13.04768,32,96.75,24,5,,
52.39996,13.04773,30,96.66,24,5,,
52.39952,13.04783,29,96.57,24,5,,
52.39917,13.048,31,96.48,24,5,,
52.39914,13.04799,31,96.39,24,5,,
52.39906,13.04789,32,96.3,24,5,,
52.39902,13.04778,32,96.21,24,5,,
52.3989,13.04693,34,96.12,24,5,,
52.39883,13.04673,35,96.03,24,5,,
52.39808,13.04538,33,95.94,24,5,,
52.39745,13.0443,33,95.85,24,5,,
52.39677,13.04307,32,95.76,24,5,,
52.39626,13.0464,33,95.67,24,5,,
52.3958,13.04966,35,95.58,24,5,,
52.39469,13.05868,29,95.49,24,5,,
52.39465,13.05887,29,95.4,24,5,,
52.39457,13.05902,29,95.31,24,5,,
52.39439,13.05926,29,95.22,24,5,,
52.39431,13.0594,29,95.13,24,5,,
52.39422,13.05963,30,95.04,24,5,,
52.39418,13.05988,30,94.95,24,5,,
52.39411,13.06046,32,94.86,24,5,,
52.39404,13.06078,32,94.77,24,5,,
52.39396,13.06096,32,94.68,24,5,,
52.39377,13.0612,31,94.59,24,5,,
52.3928,13.06257,30,94.5,24,5,,
52.39254,13.06297,33,94.41,24,5,,
52.39232,13.06323,36,94.32,24,5,,
52.39209,13.06339,37,94.23,24,5,,
52.39186,13.06347,36,94.14,24,5,,
52.39125,13.06362,36,94.05,24,5,,
52.39108,13.06372,37,93.96,24,5,,
52.39091,13.06388,37,93.87,24,5,,
52.39026,13.06469,35,93.78,24,5,,
52.38985,13.06496,36,93.69,24,5,,
52.38964,13.06504,37,93.6,24,5,,
52.38946,13.06506,38,93.51,24,5,,
52.38914,13.06507,41,93.42,24,5,,
52.3884,13.06475,49,93.33,24,5,,
52.38754,13.06422,56,93.24,24,5,,
52.38652,13.0635,62,93.15,24,5,,
52.38626,13.06329,65,93.06,24,5,,
52.38602,13.06299,69,92.97,24,5,,
52.3859,13.06277,71,92.88,24,5,,
52.38578,13.06252,73,92.79,24,5,,
52.38569,13.06215,73,92.7,24,5,,
52.38541,13.06082,65,92.61,24,5,,
52.38506,13.05958,65,92.52,24,5,,
52.38468,13.0585,64,92.43,24,5,,
52.38438,13.05787,63,92.34,24,5,,
52.384,13.0574,62,92.25,24,5,,
52.38323,13.05674,57,92.16,24,5,,
52.38255,13.05619,56,92.07,24,5,,
52.38234,13.0559,56,91.98,24,5,,
52.38216,13.05558,55,91.89,24,5,,
52.38173,13.05472,50,91.8,24,5,,
52.3816,13.05455,47,91.71,24,5,,
52.38145,13.05446,46,91.62,24,5,,
52.37619,13.05399,62,91.53,24,5,,
52.37579,13.05393,59,91.44,24,5,,
52.37546,13.05383,58,91.35,24,5,,
52.37489,13.05354,55,91.26,24,5,,
52.37455,13.05328,55,91.17,24,5,,
52.37265,13.05149,54,91.08,24,5,,
52.36758,13.0468,68,90.99,24,5,,
52.36729,13.0465,68,90.9,24,5,,
52.36608,13.04542,67,90.81,24,5,,
52.36574,13.0452,66,90.72,24,5,,
52.36532,13.04504,66,90.63,24,5,,
52.36143,13.04469,63,90.54,24,5,,
52.35507,13.0442,56,90.45,24,5,,
52.3548,13.04416,57,90.36,24,5,,
52.35202,13.04392,65,90.27,24,5,,
52.35167,13.04399,65,90.18,24,5,,
52.35127,13.0441,64,90.09,24,5,,
52.34725,13.04566,59,90,24,5,,
52.3466,13.04575,59,89.91,24,5,,
52.34584,13.04568,58,89.82,24,5,,
52.34484,13.04542,52,89.73,24,5,,
52.34377,13.04499,56,89.64,24,5,,
52.34249,13.04436,57,89.55,24,5,,
52.34013,13.04334,57,89.46,24,5,,
52.33728,13.04191,58,89.37,24,5,,
52.33627,13.04144,57,89.28,24,5,,
52.33426,13.04057,57,89.19,24,5,,
52.33144,13.03923,61,89.1,24,5,,
52.33044,13.03911,59,89.01,24,5,,
52.3298,13.03909,62,88.92,24,5,,
52.32919,13.03919,62,88.83,24,5,,
52.32834,13.03952,60,88.74,24,5,,
52.32762,13.03993,56,88.65,24,5,,
52.32673,13.04067,57,88.56,24,5,,
52.32587,13.04168,56,88.47,24,5,,
52.32413,13.04386,54,88.38,24,5,,
52.32368,13.04436,49,88.29,24,5,,
52.32309,13.04495,51,88.2,24,5,,
52.32233,13.0456,54,88.11,24,5,,
52.32161,13.04608,59,88.02,24,5,,
52.32105,13.04641,61,87.93,24,5,,
52.3206,13.04662,56,87.84,24,5,,
52.31996,13.04687,54,87.75,24,5,,
52.31902,13.04713,49,87.66,24,5,,
52.31846,13.04722,48,87.57,24,5,,
52.31779,13.04728,48,87.48,24,5,,
52.31707,13.04723,46,87.39,24,5,,
52.31619,13.04707,45,87.3,24,5,,
52.31415,13.04666,48,87.21,24,5,,
52.31216,13.04621,42,87.12,24,5,,
52.31167,13.04608,39,87.03,24,5,,
52.31088,13.04583,40,86.94,24,5,,
52.31057,13.04572,39,86.85,24,5,,
52.30934,13.04518,42,86.76,24,5,,
52.30816,13.04452,43,86.67,24,5,,
52.30693,13.04366,45,86.58,24,5,,
52.30601,13.04292,49,86.49,24,5,,
52.30551,13.04249,54,86.4,24,5,,
52.30502,13.04201,63,86.31,24,5,,
52.30407,13.041,59,86.22,24,5,,
52.30337,13.04016,60,86.13,24,5,,
52.30296,13.03963,60,86.04,24,5,,
52.30264,13.03915,59,85.95,24,5,,
52.30242,13.03877,58,85.86,24,5,,
52.30222,13.03837,58,85.77,24,5,,
52.30184,13.03743,57,85.68,24,5,,
52.30161,13.03671,58,85.59,24,5,,
52.30133,13.03545,57,85.5,24,5,,
52.30125,13.03468,56,85.41,24,5,,
52.30121,13.03396,57,85.32,24,5,,
52.30117,13.03281,55,85.23,24,5,,
52.30112,13.02962,60,85.14,24,5,,
52.30103,13.02892,62,85.05,24,5,,
52.3009,13.02841,63,84.96,24,5,,
52.30072,13.02781,65,84.87,24,5,,
52.30055,13.02734,61,84.78,24,5,,
52.29986,13.02818,60,84.69,24,5,,
52.29972,13.02822,60,84.6,24,5,,
52.2996,13.0282,60,84.51,24,5,,
52.29951,13.02811,60,84.42,24,5,,
52.29946,13.02785,61,84.33,24,5,,
52.30014,13.02539,59,84.24,24,5,,
52.3012,13.02174,57,84.15,24,5,,
52.3028,13.016,55,84.06,24,5,,
52.303,13.01512,53,83.97,24,5,,
52.30332,13.01388,52,83.88,24,5,,
52.3035,13.01303,53,83.79,24,5,,
52.30368,13.01207,54,83.7,24,5,,
52.30382,13.01113,56,83.61,24,5,,
52.30406,13.00894,58,83.52,24,5,,
52.30408,13.00805,62,83.43,24,5,,
52.30385,13.00068,66,83.34,24,5,,
52.30393,12.99057,66,83.25,24,5,,
52.30395,12.98515,68,83.16,24,5,,
52.30402,12.98058,70,83.07,24,5,,
52.30399,12.97853,71,82.98,24,5,,
52.30392,12.97719,68,82.89,24,5,,
52.30373,12.97563,67,82.8,24,5,,
52.30362,12.97499,66,82.71,24,5,,
52.30292,12.9717,67,82.62,24,5,,
52.29849,12.95211,76,82.53,24,5,,
52.29269,12.92755,75,82.44,24,5,,
52.29104,12.92037,71,82.35,24,5,,
52.29094,12.91997,71,82.26,24,5,,
52.29067,12.91911,71,82.17,24,5,,
52.29051,12.91868,71,82.08,24,5,,
52.29017,12.91794,72,81.99,24,5,,
52.28983,12.91734,70,81.9,24,5,,
52.28947,12.91683,70,81.81,24,5,,
52.28895,12.91625,71,81.72,24,5,,
52.28874,12.91605,71,81.63,24,5,,
52.28818,12.91562,72,81.54,24,5,,
52.28778,12.9154,72,81.45,24,5,,
52.28728,12.9152,71,81.36,24,5,,
52.27092,12.90963,74,81.27,24,5,,
52.26758,12.90852,76,81.18,24,5,,
52.26482,12.90753,77,81.09,24,5,,
52.26433,12.90739,77,81,24,5,,
52.26196,12.90707,78,80.91,24,5,,
52.25976,12.90723,74,80.82,24,5,,
52.25849,12.90751,74,80.73,24,5,,
52.25676,12.90816,76,80.64,24,5,,
52.25628,12.90837,74,80.55,24,5,,
52.25458,12.90933,73,80.46,24,5,,
52.25204,12.91082,72,80.37,24,5,,
52.24918,12.91248,64,80.28,24,5,,
52.24352,12.91585,60,80.19,24,5,,
52.24256,12.91633,57,80.1,24,5,,
52.24191,12.91663,58,80.01,24,5,,
52.24063,12.91707,59,79.92,24,5,,
52.23995,12.91721,56,79.83,24,5,,
52.23934,12.91729,62,79.74,24,5,,
52.23798,12.91737,62,79.65,24,5,,
52.23666,12.91734,61,79.56,24,5,,
52.23538,12.91715,58,79.47,24,5,,
52.23475,12.91701,57,79.38,24,5,,
52.23347,12.91662,55,79.29,24,5,,
