Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
48.7792546,9.18003416,248,99,26,5,,0.038
48.77925,9.18003,248,98.962,26,5,,
48.77955,9.17906,250,98.924,26,5,,
48.7803,9.17706,254,98.886,26,5,,
48.78063,9.17714,253,98.848,26,5,,
48.78077,9.17709,254,98.81,26,5,,
48.78213,9.1773,253,98.772,26,5,,
48.78255,9.1774,253,98.734,26,5,,
48.78261,9.17732,253,98.696,26,5,,
48.78261,9.17718,253,98.658,26,5,,
48.78221,9.1771,253,98.62,26,5,,
48.78115,9.17699,256,98.582,26,5,,
48.78065,9.17686,253,98.544,26,5,,
48.78039,9.17677,253,98.506,26,5,,
48.77983,9.17648,264,98.468,26,5,,
48.77957,9.17632,266,98.43,26,5,,
48.77909,9.17593,262,98.392,26,5,,
48.7787,9.17558,261,98.354,26,5,,
48.77843,9.1753,261,98.316,26,5,,
48.77792,9.17474,262,98.278,26,5,,
48.77588,9.1723,270,98.24,26,5,,
48.77517,9.17157,272,98.202,26,5,,
48.7747,9.17114,272,98.164,26,5,,
48.77438,9.17078,267,98.126,26,5,,
48.77388,9.17003,266,98.088,26,5,,
48.77371,9.16988,267,98.05,26,5,,
48.77359,9.16983,268,98.012,26,5,,
48.77342,9.16988,271,97.974,26,5,,
48.77278,9.17037,270,97.936,26,5,,
48.77255,9.1706,274,97.898,26,5,,
48.77242,9.17077,275,97.86,26,5,,
48.77129,9.17247,265,97.822,26,5,,
48.77108,9.17274,261,97.784,26,5,,
48.77074,9.17306,260,97.746,26,5,,
48.7702,9.17344,256,97.708,26,5,,
48.77,9.17355,256,97.67,26,5,,
48.76979,9.17356,257,97.632,26,5,,
48.76949,9.17348,258,97.594,26,5,,
48.76925,9.17333,258,97.556,26,5,,
48.76848,9.17253,260,97.518,26,5,,
48.76834,9.17252,262,97.48,26,5,,
48.76727,9.17159,262,97.442,26,5,,
48.76504,9.16979,270,97.404,26,5,,
48.76465,9.16945,268,97.366,26,5,,
48.76447,9.16938,268,97.328,26,5,,
48.76433,9.16939,269,97.29,26,5,,
48.76394,9.16951,275,97.252,26,5,,
48.76367,9.16963,278,97.214,26,5,,
48.76338,9.16971,282,97.176,26,5,,
48.76292,9.16976,288,97.138,26,5,,
48.76281,9.16981,289,97.1,26,5,,
48.76256,9.16979,294,97.062,26,5,,
48.76222,9.16972,300,97.024,26,5,,
48.76185,9.16957,306,96.986,26,5,,
48.76164,9.16947,311,96.948,26,5,,
48.76088,9.169,328,96.91,26,5,,
48.76033,9.16857,338,96.872,26,5,,
48.75992,9.16821,351,96.834,26,5,,
48.75936,9.16764,368,96.796,26,5,,
48.75884,9.16702,380,96.758,26,5,,
48.75785,9.16571,357,96.72,26,5,,
48.75753,9.16519,341,96.682,26,5,,
48.75694,9.16407,352,96.644,26,5,,
48.7566,9.16327,348,96.606,26,5,,
48.7564,9.16273,340,96.568,26,5,,
48.75606,9.16159,319,96.53,26,5,,
48.7553,9.15833,353,96.492,26,5,,
48.75517,9.15757,384,96.454,26,5,,
48.75501,9.15611,397,96.416,26,5,,
48.75491,9.1549,402,96.378,26,5,,
48.75484,9.15373,402,96.34,26,5,,
48.75468,9.14855,381,96.302,26,5,,
48.75468,9.14768,369,96.264,26,5,,
48.75464,9.14669,360,96.226,26,5,,
48.75456,9.146,330,96.188,26,5,,
48.75457,9.14593,326,96.15,26,5,,
48.75455,9.14564,315,96.112,26,5,,
48.75458,9.14466,313,96.074,26,5,,
48.75455,9.14444,317,96.036,26,5,,
