Latitude,Longitude,Elevation,Battery state of charge,Outside temp,Driving Behavior,,
48.8213325,9.18457031,345,99,28,7,,0.046
48.82186,9.18372,343,98.954,28,7,,
48.82228,9.18433,343,98.908,28,7,,
48.82324,9.18551,333,98.862,28,7,,
48.82343,9.1858,333,98.816,28,7,,
48.82366,9.18622,333,98.77,28,7,,
48.82487,9.18865,323,98.724,28,7,,
48.82512,9.18927,323,98.678,28,7,,
48.82553,9.1905,316,98.632,28,7,,
48.82566,9.19073,315,98.586,28,7,,
48.82587,9.19095,314,98.54,28,7,,
48.82614,9.19111,312,98.494,28,7,,
48.82646,9.19122,308,98.448,28,7,,
48.82666,9.19127,306,98.402,28,7,,
48.8271,9.19131,303,98.356,28,7,,
48.82767,9.19132,302,98.31,28,7,,
48.82774,9.19136,303,98.264,28,7,,
48.82861,9.18907,297,98.218,28,7,,
48.82917,9.18766,288,98.172,28,7,,
48.82945,9.18711,285,98.126,28,7,,
48.82967,9.18677,284,98.08,28,7,,
48.82988,9.18647,283,98.034,28,7,,
48.83005,9.18627,283,97.988,28,7,,
48.83053,9.1858,285,97.942,28,7,,
48.83072,9.18566,283,97.896,28,7,,
48.83103,9.18548,280,97.85,28,7,,
48.83142,9.1853,281,97.804,28,7,,
48.83221,9.18505,280,97.758,28,7,,
48.83307,9.1849,274,97.712,28,7,,
48.83401,9.18454,266,97.666,28,7,,
48.83374,9.18051,255,97.62,28,7,,
48.83371,9.17986,255,97.574,28,7,,
48.83374,9.17915,255,97.528,28,7,,
48.83385,9.17826,255,97.482,28,7,,
48.83388,9.17808,255,97.436,28,7,,
48.83402,9.17761,255,97.39,28,7,,
48.83501,9.17536,262,97.344,28,7,,
48.83629,9.17542,267,97.298,28,7,,
48.83703,9.17535,269,97.252,28,7,,
48.83728,9.17537,270,97.206,28,7,,
48.83764,9.17548,272,97.16,28,7,,
48.83889,9.17619,281,97.114,28,7,,
48.83914,9.17631,282,97.068,28,7,,
48.83968,9.17646,283,97.022,28,7,,
48.84092,9.17664,281,96.976,28,7,,
48.84139,9.1768,283,96.93,28,7,,
48.84174,9.17709,285,96.884,28,7,,
48.84194,9.17731,287,96.838,28,7,,
48.8426,9.17828,292,96.792,28,7,,
48.84301,9.17883,293,96.746,28,7,,
48.84337,9.17935,293,96.7,28,7,,
48.84373,9.17981,294,96.654,28,7,,
48.84393,9.17929,297,96.608,28,7,,
48.84444,9.17832,301,96.562,28,7,,
48.84467,9.17805,299,96.516,28,7,,
48.84477,9.178,299,96.47,28,7,,
48.84486,9.17799,298,96.424,28,7,,
48.84499,9.17801,297,96.378,28,7,,
48.84517,9.17839,300,96.332,28,7,,
48.8452,9.17851,301,96.286,28,7,,
48.84521,9.17863,301,96.24,28,7,,
48.84518,9.17884,302,96.194,28,7,,
48.84515,9.17894,303,96.148,28,7,,
48.84505,9.17907,304,96.102,28,7,,
48.84491,9.17912,305,96.056,28,7,,
48.84481,9.17911,305,96.01,28,7,,
48.84472,9.17906,305,95.964,28,7,,
48.84455,9.17905,305,95.918,28,7,,
48.84384,9.17836,297,95.872,28,7,,
48.84328,9.17775,297,95.826,28,7,,
48.84275,9.17711,295,95.78,28,7,,
48.84263,9.17681,293,95.734,28,7,,
48.84239,9.17644,294,95.688,28,7,,
48.84158,9.17504,293,95.642,28,7,,
48.84135,9.1745,293,95.596,28,7,,
48.84125,9.17413,293,95.55,28,7,,
48.84121,9.17392,293,95.504,28,7,,
48.84118,9.17363,294,95.458,28,7,,
48.84117,9.17321,294,95.412,28,7,,
48.84125,9.17261,291,95.366,28,7,,
48.8414,9.17197,292,95.32,28,7,,
48.8418,9.17044,296,95.274,28,7,,
48.8419,9.17,299,95.228,28,7,,
48.842,9.16935,301,95.182,28,7,,
48.84204,9.16902,301,95.136,28,7,,
48.84206,9.16865,300,95.09,28,7,,
48.84205,9.16777,302,95.044,28,7,,
48.84203,9.16744,303,94.998,28,7,,
48.84193,9.1667,304,94.952,28,7,,
48.84178,9.16596,305,94.906,28,7,,
48.84166,9.16566,306,94.86,28,7,,
48.8414,9.16447,310,94.814,28,7,,
48.84117,9.16335,310,94.768,28,7,,
48.84091,9.16176,313,94.722,28,7,,
48.84077,9.16064,312,94.676,28,7,,
48.8406,9.15878,315,94.63,28,7,,
48.84054,9.15777,312,94.584,28,7,,
48.84051,9.1567,313,94.538,28,7,,
48.8405,9.15557,313,94.492,28,7,,
48.84052,9.15278,316,94.446,28,7,,
48.84051,9.15145,314,94.4,28,7,,
48.84049,9.15021,317,94.354,28,7,,
48.84041,9.14875,317,94.308,28,7,,
48.84029,9.14744,318,94.262,28,7,,
48.84004,9.14521,319,94.216,28,7,,
48.83995,9.14426,321,94.17,28,7,,
48.83993,9.14325,321,94.124,28,7,,
48.83996,9.14249,322,94.078,28,7,,
48.84006,9.1415,329,94.032,28,7,,
48.84017,9.14093,330,93.986,28,7,,
48.8403,9.14043,328,93.94,28,7,,
48.84043,9.13997,327,93.894,28,7,,
48.84061,9.13945,328,93.848,28,7,,
48.8409,9.13878,328,93.802,28,7,,
48.84137,9.13779,327,93.756,28,7,,
48.84158,9.1374,328,93.71,28,7,,
48.84228,9.13625,328,93.664,28,7,,
48.84379,9.13388,323,93.618,28,7,,
48.84461,9.13256,321,93.572,28,7,,
48.84553,9.13091,319,93.526,28,7,,
48.84614,9.1297,319,93.48,28,7,,
48.84752,9.12684,320,93.434,28,7,,
48.848,9.12588,318,93.388,28,7,,
48.84892,9.12422,315,93.342,28,7,,
48.84914,9.12399,315,93.296,28,7,,
48.84933,9.12375,314,93.25,28,7,,
48.84971,9.12344,315,93.204,28,7,,
48.84999,9.12329,318,93.158,28,7,,
48.85066,9.12301,323,93.112,28,7,,
48.8524,9.1225,324,93.066,28,7,,
48.8527,9.12247,323,93.02,28,7,,
48.8531,9.12251,323,92.974,28,7,,
48.85333,9.1226,326,92.928,28,7,,
48.85417,9.12315,330,92.882,28,7,,
48.85471,9.12346,331,92.836,28,7,,
48.85488,9.12354,331,92.79,28,7,,
48.85508,9.12353,331,92.744,28,7,,
48.85544,9.12375,331,92.698,28,7,,
48.85767,9.1252,338,92.652,28,7,,
48.86076,9.12713,339,92.606,28,7,,
48.86253,9.12829,342,92.56,28,7,,
48.86398,9.12933,336,92.514,28,7,,
48.86492,9.1301,332,92.468,28,7,,
48.87238,9.13653,334,92.422,28,7,,
48.87349,9.13747,330,92.376,28,7,,
48.87737,9.14084,316,92.33,28,7,,
48.87861,9.14182,312,92.284,28,7,,
48.87953,9.1425,309,92.238,28,7,,
48.8806,9.14323,309,92.192,28,7,,
48.88177,9.14395,308,92.146,28,7,,
48.88243,9.14432,310,92.1,28,7,,
48.88585,9.14614,303,92.054,28,7,,
